product_title	shop_slug	sku	stock	price	sale_price	selections_json	variant_state
Bulk Draft Product 28	bulk-catalog-lab	BCL-PROD-28	38	48		{}	active
Bulk Draft Product 29	bulk-catalog-lab	BCL-PROD-29	39	49		{}	active
Bulk Draft Product 30	bulk-catalog-lab	BCL-PROD-30	40	50		{}	active
Bulk Draft Product 31	bulk-catalog-lab	BCL-PROD-31	41	51		{}	active
Bulk Draft Product 32	bulk-catalog-lab	BCL-PROD-32	42	52		{}	active
Bulk Draft Product 33	bulk-catalog-lab	BCL-PROD-33	43	53		{}	active
Bulk Draft Product 34	bulk-catalog-lab	BCL-PROD-34	44	54		{}	active
Bulk Draft Product 35	bulk-catalog-lab	BCL-PROD-35	45	55		{}	active
Bulk Draft Product 36	bulk-catalog-lab	BCL-PROD-36	46	56		{}	active
Bulk Draft Product 37	bulk-catalog-lab	BCL-PROD-37	47	57		{}	active
Bulk Draft Product 38	bulk-catalog-lab	BCL-PROD-38	48	58		{}	active
Bulk Draft Product 39	bulk-catalog-lab	BCL-PROD-39	49	59		{}	active
Bulk Draft Product 40	bulk-catalog-lab	BCL-PROD-40	50	60		{}	active
Bulk Draft Product 41	bulk-catalog-lab	BCL-PROD-41	51	61		{}	active
Bulk Draft Product 42	bulk-catalog-lab	BCL-PROD-42	52	62		{}	active
Bulk Draft Product 43	bulk-catalog-lab	BCL-PROD-43	53	63		{}	active
Bulk Draft Product 44	bulk-catalog-lab	BCL-PROD-44	54	64		{}	active
Bulk Draft Product 45	bulk-catalog-lab	BCL-PROD-45	55	65		{}	active
Bulk Draft Product 46	bulk-catalog-lab	BCL-PROD-46	56	66		{}	active
Bulk Draft Product 47	bulk-catalog-lab	BCL-PROD-47	57	67		{}	active
Bulk Draft Product 48	bulk-catalog-lab	BCL-PROD-48	58	68		{}	active
Bulk Draft Product 49	bulk-catalog-lab	BCL-PROD-49	59	69		{}	active
Bulk Draft Product 50	bulk-catalog-lab	BCL-PROD-50	60	70		{}	active
