from_currency	to_currency	rate	source
BRL	MXN	3.0848708487	demo-seed
BRL	MYR	0.8690036900	demo-seed
BRL	NOK	1.9520295203	demo-seed
BRL	NZD	0.3062730627	demo-seed
BRL	PHP	10.7380073801	demo-seed
BRL	PLN	0.6937269373	demo-seed
BRL	SEK	1.9077490775	demo-seed
BRL	VND	4576.1992619926	demo-seed
BRL	SGD	0.2490774908	demo-seed
BRL	THB	6.7250922509	demo-seed
BRL	TRY	5.9372693727	demo-seed
BRL	TWD	5.9870848708	demo-seed
BRL	ZAR	3.3966789668	demo-seed
CHF	USD	1.0989010989	demo-seed
CHF	AUD	1.6813186813	demo-seed
CHF	BRL	5.9560439560	demo-seed
CHF	CNY	7.9560439560	demo-seed
CHF	CZK	24.9230769231	demo-seed
CHF	DKK	7.5604395604	demo-seed
CHF	EUR	0.9670329670	demo-seed
CHF	GBP	0.8241758242	demo-seed
CHF	CAD	1.5054945055	demo-seed
CHF	HKD	8.5824175824	demo-seed
CHF	HUF	387.3626373626	demo-seed
CHF	IDR	17857.1428571429	demo-seed
CHF	ILS	4.0439560440	demo-seed
CHF	INR	91.3186813187	demo-seed
CHF	JPY	171.8681318681	demo-seed
CHF	KRW	1500.0000000000	demo-seed
CHF	MAD	10.9670329670	demo-seed
CHF	MXN	18.3736263736	demo-seed
CHF	MYR	5.1758241758	demo-seed
CHF	NOK	11.6263736264	demo-seed
CHF	NZD	1.8241758242	demo-seed
CHF	PHP	63.9560439560	demo-seed
CHF	PLN	4.1318681319	demo-seed
CHF	SEK	11.3626373626	demo-seed
CHF	VND	27256.0439560440	demo-seed
CHF	SGD	1.4835164835	demo-seed
CHF	THB	40.0549450549	demo-seed
CHF	TRY	35.3626373626	demo-seed
CHF	TWD	35.6593406593	demo-seed
CHF	ZAR	20.2307692308	demo-seed
CNY	USD	0.1381215470	demo-seed
CNY	AUD	0.2113259669	demo-seed
CNY	BRL	0.7486187845	demo-seed
CNY	CHF	0.1256906077	demo-seed
CNY	CZK	3.1325966851	demo-seed
CNY	DKK	0.9502762431	demo-seed
CNY	EUR	0.1215469613	demo-seed
CNY	GBP	0.1035911602	demo-seed
CNY	CAD	0.1892265193	demo-seed
CNY	HKD	1.0787292818	demo-seed
CNY	HUF	48.6878453039	demo-seed
CNY	IDR	2244.4751381215	demo-seed
CNY	ILS	0.5082872928	demo-seed
CNY	INR	11.4779005525	demo-seed
CNY	JPY	21.6022099448	demo-seed
CNY	KRW	188.5359116022	demo-seed
CNY	MAD	1.3784530387	demo-seed
CNY	MXN	2.3093922652	demo-seed
CNY	MYR	0.6505524862	demo-seed
CNY	NOK	1.4613259669	demo-seed
CNY	NZD	0.2292817680	demo-seed
CNY	PHP	8.0386740331	demo-seed
CNY	PLN	0.5193370166	demo-seed
CNY	SEK	1.4281767956	demo-seed
CNY	VND	3425.8287292818	demo-seed
CNY	SGD	0.1864640884	demo-seed
CNY	THB	5.0345303867	demo-seed
CNY	TRY	4.4447513812	demo-seed
CNY	TWD	4.4820441989	demo-seed
CNY	ZAR	2.5428176796	demo-seed
CZK	USD	0.0440917108	demo-seed
CZK	AUD	0.0674603175	demo-seed
CZK	BRL	0.2389770723	demo-seed
CZK	CHF	0.0401234568	demo-seed
CZK	CNY	0.3192239859	demo-seed
CZK	DKK	0.3033509700	demo-seed
CZK	EUR	0.0388007055	demo-seed
CZK	GBP	0.0330687831	demo-seed
CZK	CAD	0.0604056437	demo-seed
CZK	HKD	0.3443562610	demo-seed
CZK	HUF	15.5423280423	demo-seed
CZK	IDR	716.4902998236	demo-seed
CZK	ILS	0.1622574956	demo-seed
CZK	INR	3.6640211640	demo-seed
CZK	JPY	6.8959435626	demo-seed
CZK	KRW	60.1851851852	demo-seed
CZK	MAD	0.4400352734	demo-seed
CZK	MXN	0.7372134039	demo-seed
CZK	MYR	0.2076719577	demo-seed
CZK	NOK	0.4664902998	demo-seed
CZK	NZD	0.0731922399	demo-seed
CZK	PHP	2.5661375661	demo-seed
CZK	PLN	0.1657848325	demo-seed
CZK	SEK	0.4559082892	demo-seed
CZK	VND	1093.6067019400	demo-seed
CZK	SGD	0.0595238095	demo-seed
CZK	THB	1.6071428571	demo-seed
CZK	TRY	1.4188712522	demo-seed
CZK	TWD	1.4307760141	demo-seed
CZK	ZAR	0.8117283951	demo-seed
DKK	USD	0.1453488372	demo-seed
DKK	AUD	0.2223837209	demo-seed
DKK	BRL	0.7877906977	demo-seed
DKK	CHF	0.1322674419	demo-seed
DKK	CNY	1.0523255814	demo-seed
DKK	CZK	3.2965116279	demo-seed
DKK	EUR	0.1279069767	demo-seed
DKK	GBP	0.1090116279	demo-seed
DKK	CAD	0.1991279070	demo-seed
DKK	HKD	1.1351744186	demo-seed
DKK	HUF	51.2354651163	demo-seed
DKK	IDR	2361.9186046512	demo-seed
DKK	ILS	0.5348837209	demo-seed
DKK	INR	12.0784883721	demo-seed
DKK	JPY	22.7325581395	demo-seed
DKK	KRW	198.4011627907	demo-seed
DKK	MAD	1.4505813953	demo-seed
DKK	MXN	2.4302325581	demo-seed
DKK	MYR	0.6845930233	demo-seed
DKK	NOK	1.5377906977	demo-seed
DKK	NZD	0.2412790698	demo-seed
DKK	PHP	8.4593023256	demo-seed
DKK	PLN	0.5465116279	demo-seed
DKK	SEK	1.5029069767	demo-seed
DKK	VND	3605.0872093023	demo-seed
DKK	SGD	0.1962209302	demo-seed
DKK	THB	5.2979651163	demo-seed
DKK	TRY	4.6773255814	demo-seed
DKK	TWD	4.7165697674	demo-seed
DKK	ZAR	2.6758720930	demo-seed
EUR	USD	1.1363636364	demo-seed
EUR	AUD	1.7386363636	demo-seed
EUR	BRL	6.1590909091	demo-seed
EUR	CHF	1.0340909091	demo-seed
EUR	CNY	8.2272727273	demo-seed
EUR	CZK	25.7727272727	demo-seed
EUR	DKK	7.8181818182	demo-seed
EUR	GBP	0.8522727273	demo-seed
EUR	CAD	1.5568181818	demo-seed
EUR	HKD	8.8750000000	demo-seed
EUR	HUF	400.5681818182	demo-seed
EUR	IDR	18465.9090909091	demo-seed
EUR	ILS	4.1818181818	demo-seed
EUR	INR	94.4318181818	demo-seed
EUR	JPY	177.7272727273	demo-seed
EUR	KRW	1551.1363636364	demo-seed
EUR	MAD	11.3409090909	demo-seed
EUR	MXN	19.0000000000	demo-seed
EUR	MYR	5.3522727273	demo-seed
EUR	NOK	12.0227272727	demo-seed
EUR	NZD	1.8863636364	demo-seed
EUR	PHP	66.1363636364	demo-seed
EUR	PLN	4.2727272727	demo-seed
EUR	SEK	11.7500000000	demo-seed
EUR	VND	28185.2272727273	demo-seed
EUR	SGD	1.5340909091	demo-seed
EUR	THB	41.4204545455	demo-seed
EUR	TRY	36.5681818182	demo-seed
EUR	TWD	36.8750000000	demo-seed
EUR	ZAR	20.9204545455	demo-seed
GBP	USD	1.3333333333	demo-seed
GBP	AUD	2.0400000000	demo-seed
GBP	BRL	7.2266666667	demo-seed
GBP	CHF	1.2133333333	demo-seed
GBP	CNY	9.6533333333	demo-seed
GBP	CZK	30.2400000000	demo-seed
GBP	DKK	9.1733333333	demo-seed
GBP	EUR	1.1733333333	demo-seed
GBP	CAD	1.8266666667	demo-seed
GBP	HKD	10.4133333333	demo-seed
GBP	HUF	470.0000000000	demo-seed
GBP	IDR	21666.6666666667	demo-seed
GBP	ILS	4.9066666667	demo-seed
GBP	INR	110.8000000000	demo-seed
GBP	JPY	208.5333333333	demo-seed
GBP	KRW	1820.0000000000	demo-seed
GBP	MAD	13.3066666667	demo-seed
GBP	MXN	22.2933333333	demo-seed
GBP	MYR	6.2800000000	demo-seed
GBP	NOK	14.1066666667	demo-seed
GBP	NZD	2.2133333333	demo-seed
GBP	PHP	77.6000000000	demo-seed
GBP	PLN	5.0133333333	demo-seed
GBP	SEK	13.7866666667	demo-seed
GBP	VND	33070.6666666667	demo-seed
GBP	SGD	1.8000000000	demo-seed
GBP	THB	48.6000000000	demo-seed
GBP	TRY	42.9066666667	demo-seed
GBP	TWD	43.2666666667	demo-seed
GBP	ZAR	24.5466666667	demo-seed
CAD	USD	0.7299270073	demo-seed
CAD	AUD	1.1167883212	demo-seed
CAD	BRL	3.9562043796	demo-seed
CAD	CHF	0.6642335766	demo-seed
CAD	CNY	5.2846715328	demo-seed
CAD	CZK	16.5547445255	demo-seed
CAD	DKK	5.0218978102	demo-seed
CAD	EUR	0.6423357664	demo-seed
CAD	GBP	0.5474452555	demo-seed
CAD	HKD	5.7007299270	demo-seed
CAD	HUF	257.2992700730	demo-seed
CAD	IDR	11861.3138686131	demo-seed
CAD	ILS	2.6861313869	demo-seed
CAD	INR	60.6569343066	demo-seed
CAD	JPY	114.1605839416	demo-seed
CAD	KRW	996.3503649635	demo-seed
CAD	MAD	7.2846715328	demo-seed
CAD	MXN	12.2043795620	demo-seed
CAD	MYR	3.4379562044	demo-seed
CAD	NOK	7.7226277372	demo-seed
CAD	NZD	1.2116788321	demo-seed
CAD	PHP	42.4817518248	demo-seed
CAD	PLN	2.7445255474	demo-seed
CAD	SEK	7.5474452555	demo-seed
CAD	VND	18104.3795620438	demo-seed
CAD	SGD	0.9854014599	demo-seed
CAD	THB	26.6058394161	demo-seed
CAD	TRY	23.4890510949	demo-seed
CAD	TWD	23.6861313869	demo-seed
CAD	ZAR	13.4379562044	demo-seed
HKD	USD	0.1280409731	demo-seed
HKD	AUD	0.1959026889	demo-seed
HKD	BRL	0.6939820743	demo-seed
HKD	CHF	0.1165172855	demo-seed
HKD	CNY	0.9270166453	demo-seed
HKD	CZK	2.9039692702	demo-seed
HKD	DKK	0.8809218950	demo-seed
HKD	EUR	0.1126760563	demo-seed
HKD	GBP	0.0960307298	demo-seed
HKD	CAD	0.1754161332	demo-seed
HKD	HUF	45.1344430218	demo-seed
HKD	IDR	2080.6658130602	demo-seed
HKD	ILS	0.4711907810	demo-seed
HKD	INR	10.6402048656	demo-seed
HKD	JPY	20.0256081946	demo-seed
HKD	KRW	174.7759282971	demo-seed
HKD	MAD	1.2778489117	demo-seed
HKD	MXN	2.1408450704	demo-seed
HKD	MYR	0.6030729834	demo-seed
HKD	NOK	1.3546734955	demo-seed
HKD	NZD	0.2125480154	demo-seed
HKD	PHP	7.4519846351	demo-seed
HKD	PLN	0.4814340589	demo-seed
HKD	SEK	1.3239436620	demo-seed
HKD	VND	3175.8002560819	demo-seed
HKD	SGD	0.1728553137	demo-seed
HKD	THB	4.6670934699	demo-seed
HKD	TRY	4.1203585147	demo-seed
HKD	TWD	4.1549295775	demo-seed
HKD	ZAR	2.3572343150	demo-seed
HUF	USD	0.0028368794	demo-seed
HUF	AUD	0.0043404255	demo-seed
HUF	BRL	0.0153758865	demo-seed
HUF	CHF	0.0025815603	demo-seed
HUF	CNY	0.0205390071	demo-seed
HUF	CZK	0.0643404255	demo-seed
HUF	DKK	0.0195177305	demo-seed
HUF	EUR	0.0024964539	demo-seed
HUF	GBP	0.0021276596	demo-seed
HUF	CAD	0.0038865248	demo-seed
HUF	HKD	0.0221560284	demo-seed
HUF	IDR	46.0992907801	demo-seed
HUF	ILS	0.0104397163	demo-seed
HUF	INR	0.2357446809	demo-seed
HUF	JPY	0.4436879433	demo-seed
HUF	KRW	3.8723404255	demo-seed
HUF	MAD	0.0283120567	demo-seed
HUF	MXN	0.0474326241	demo-seed
HUF	MYR	0.0133617021	demo-seed
HUF	NOK	0.0300141844	demo-seed
HUF	NZD	0.0047092199	demo-seed
HUF	PHP	0.1651063830	demo-seed
HUF	PLN	0.0106666667	demo-seed
HUF	SEK	0.0293333333	demo-seed
HUF	VND	70.3631205674	demo-seed
HUF	SGD	0.0038297872	demo-seed
HUF	THB	0.1034042553	demo-seed
HUF	TRY	0.0912907801	demo-seed
HUF	TWD	0.0920567376	demo-seed
HUF	ZAR	0.0522269504	demo-seed
IDR	USD	0.0000615385	demo-seed
IDR	AUD	0.0000941538	demo-seed
IDR	BRL	0.0003335385	demo-seed
IDR	CHF	0.0000560000	demo-seed
IDR	CNY	0.0004455385	demo-seed
IDR	CZK	0.0013956923	demo-seed
IDR	DKK	0.0004233846	demo-seed
IDR	EUR	0.0000541538	demo-seed
IDR	GBP	0.0000461538	demo-seed
IDR	CAD	0.0000843077	demo-seed
IDR	HKD	0.0004806154	demo-seed
IDR	HUF	0.0216923077	demo-seed
IDR	ILS	0.0002264615	demo-seed
IDR	INR	0.0051138462	demo-seed
IDR	JPY	0.0096246154	demo-seed
IDR	KRW	0.0840000000	demo-seed
IDR	MAD	0.0006141538	demo-seed
IDR	MXN	0.0010289231	demo-seed
IDR	MYR	0.0002898462	demo-seed
IDR	NOK	0.0006510769	demo-seed
IDR	NZD	0.0001021538	demo-seed
IDR	PHP	0.0035815385	demo-seed
IDR	PLN	0.0002313846	demo-seed
IDR	SEK	0.0006363077	demo-seed
IDR	VND	1.5263384615	demo-seed
IDR	SGD	0.0000830769	demo-seed
IDR	THB	0.0022430769	demo-seed
IDR	TRY	0.0019803077	demo-seed
IDR	TWD	0.0019969231	demo-seed
IDR	ZAR	0.0011329231	demo-seed
ILS	USD	0.2717391304	demo-seed
ILS	AUD	0.4157608696	demo-seed
ILS	BRL	1.4728260870	demo-seed
ILS	CHF	0.2472826087	demo-seed
ILS	CNY	1.9673913043	demo-seed
ILS	CZK	6.1630434783	demo-seed
ILS	DKK	1.8695652174	demo-seed
ILS	EUR	0.2391304348	demo-seed
ILS	GBP	0.2038043478	demo-seed
ILS	CAD	0.3722826087	demo-seed
ILS	HKD	2.1222826087	demo-seed
ILS	HUF	95.7880434783	demo-seed
ILS	IDR	4415.7608695652	demo-seed
ILS	INR	22.5815217391	demo-seed
ILS	JPY	42.5000000000	demo-seed
ILS	KRW	370.9239130435	demo-seed
ILS	MAD	2.7119565217	demo-seed
ILS	MXN	4.5434782609	demo-seed
ILS	MYR	1.2798913043	demo-seed
ILS	NOK	2.8750000000	demo-seed
ILS	NZD	0.4510869565	demo-seed
ILS	PHP	15.8152173913	demo-seed
ILS	PLN	1.0217391304	demo-seed
ILS	SEK	2.8097826087	demo-seed
ILS	VND	6739.9456521739	demo-seed
ILS	SGD	0.3668478261	demo-seed
ILS	THB	9.9048913043	demo-seed
ILS	TRY	8.7445652174	demo-seed
ILS	TWD	8.8179347826	demo-seed
ILS	ZAR	5.0027173913	demo-seed
INR	USD	0.0120336943	demo-seed
INR	AUD	0.0184115523	demo-seed
INR	BRL	0.0652226233	demo-seed
INR	CHF	0.0109506619	demo-seed
INR	CNY	0.0871239471	demo-seed
INR	CZK	0.2729241877	demo-seed
INR	DKK	0.0827918171	demo-seed
INR	EUR	0.0105896510	demo-seed
INR	GBP	0.0090252708	demo-seed
INR	CAD	0.0164861613	demo-seed
INR	HKD	0.0939831528	demo-seed
INR	HUF	4.2418772563	demo-seed
INR	IDR	195.5475330927	demo-seed
INR	ILS	0.0442839952	demo-seed
INR	JPY	1.8820697954	demo-seed
INR	KRW	16.4259927798	demo-seed
INR	MAD	0.1200962696	demo-seed
INR	MXN	0.2012033694	demo-seed
INR	MYR	0.0566787004	demo-seed
INR	NOK	0.1273164862	demo-seed
INR	NZD	0.0199759326	demo-seed
INR	PHP	0.7003610108	demo-seed
INR	PLN	0.0452466907	demo-seed
INR	SEK	0.1244283995	demo-seed
INR	VND	298.4717208183	demo-seed
INR	SGD	0.0162454874	demo-seed
INR	THB	0.4386281588	demo-seed
INR	TRY	0.3872442840	demo-seed
INR	TWD	0.3904933815	demo-seed
INR	ZAR	0.2215403129	demo-seed
JPY	USD	0.0063938619	demo-seed
JPY	AUD	0.0097826087	demo-seed
JPY	BRL	0.0346547315	demo-seed
JPY	CHF	0.0058184143	demo-seed
JPY	CNY	0.0462915601	demo-seed
JPY	CZK	0.1450127877	demo-seed
JPY	DKK	0.0439897698	demo-seed
JPY	EUR	0.0056265985	demo-seed
JPY	GBP	0.0047953964	demo-seed
JPY	CAD	0.0087595908	demo-seed
JPY	HKD	0.0499360614	demo-seed
JPY	HUF	2.2538363171	demo-seed
JPY	IDR	103.9002557545	demo-seed
JPY	ILS	0.0235294118	demo-seed
JPY	INR	0.5313299233	demo-seed
JPY	KRW	8.7276214834	demo-seed
JPY	MAD	0.0638107417	demo-seed
JPY	MXN	0.1069053708	demo-seed
JPY	MYR	0.0301150895	demo-seed
JPY	NOK	0.0676470588	demo-seed
JPY	NZD	0.0106138107	demo-seed
JPY	PHP	0.3721227621	demo-seed
JPY	PLN	0.0240409207	demo-seed
JPY	SEK	0.0661125320	demo-seed
JPY	VND	158.5869565217	demo-seed
JPY	SGD	0.0086317136	demo-seed
JPY	THB	0.2330562660	demo-seed
JPY	TRY	0.2057544757	demo-seed
JPY	TWD	0.2074808184	demo-seed
JPY	ZAR	0.1177109974	demo-seed
KRW	USD	0.0007326007	demo-seed
KRW	AUD	0.0011208791	demo-seed
KRW	BRL	0.0039706960	demo-seed
KRW	CHF	0.0006666667	demo-seed
KRW	CNY	0.0053040293	demo-seed
KRW	CZK	0.0166153846	demo-seed
KRW	DKK	0.0050402930	demo-seed
KRW	EUR	0.0006446886	demo-seed
KRW	GBP	0.0005494505	demo-seed
KRW	CAD	0.0010036630	demo-seed
KRW	HKD	0.0057216117	demo-seed
KRW	HUF	0.2582417582	demo-seed
KRW	IDR	11.9047619048	demo-seed
KRW	ILS	0.0026959707	demo-seed
KRW	INR	0.0608791209	demo-seed
KRW	JPY	0.1145787546	demo-seed
KRW	MAD	0.0073113553	demo-seed
KRW	MXN	0.0122490842	demo-seed
KRW	MYR	0.0034505495	demo-seed
KRW	NOK	0.0077509158	demo-seed
KRW	NZD	0.0012161172	demo-seed
KRW	PHP	0.0426373626	demo-seed
KRW	PLN	0.0027545788	demo-seed
KRW	SEK	0.0075750916	demo-seed
KRW	VND	18.1706959707	demo-seed
KRW	SGD	0.0009890110	demo-seed
KRW	THB	0.0267032967	demo-seed
KRW	TRY	0.0235750916	demo-seed
KRW	TWD	0.0237728938	demo-seed
KRW	ZAR	0.0134871795	demo-seed
MAD	USD	0.1002004008	demo-seed
MAD	AUD	0.1533066132	demo-seed
MAD	BRL	0.5430861723	demo-seed
MAD	CHF	0.0911823647	demo-seed
MAD	CNY	0.7254509018	demo-seed
MAD	CZK	2.2725450902	demo-seed
MAD	DKK	0.6893787575	demo-seed
MAD	EUR	0.0881763527	demo-seed
MAD	GBP	0.0751503006	demo-seed
MAD	CAD	0.1372745491	demo-seed
MAD	HKD	0.7825651303	demo-seed
MAD	HUF	35.3206412826	demo-seed
MAD	IDR	1628.2565130261	demo-seed
MAD	ILS	0.3687374749	demo-seed
MAD	INR	8.3266533066	demo-seed
MAD	JPY	15.6713426854	demo-seed
MAD	KRW	136.7735470942	demo-seed
MAD	MXN	1.6753507014	demo-seed
MAD	MYR	0.4719438878	demo-seed
MAD	NOK	1.0601202405	demo-seed
MAD	NZD	0.1663326653	demo-seed
MAD	PHP	5.8316633267	demo-seed
MAD	PLN	0.3767535070	demo-seed
MAD	SEK	1.0360721443	demo-seed
MAD	VND	2485.2705410822	demo-seed
MAD	SGD	0.1352705411	demo-seed
MAD	THB	3.6523046092	demo-seed
MAD	TRY	3.2244488978	demo-seed
MAD	TWD	3.2515030060	demo-seed
MAD	ZAR	1.8446893788	demo-seed
MXN	USD	0.0598086124	demo-seed
MXN	AUD	0.0915071770	demo-seed
MXN	BRL	0.3241626794	demo-seed
MXN	CHF	0.0544258373	demo-seed
MXN	CNY	0.4330143541	demo-seed
MXN	CZK	1.3564593301	demo-seed
MXN	DKK	0.4114832536	demo-seed
MXN	EUR	0.0526315789	demo-seed
MXN	GBP	0.0448564593	demo-seed
MXN	CAD	0.0819377990	demo-seed
MXN	HKD	0.4671052632	demo-seed
MXN	HUF	21.0825358852	demo-seed
MXN	IDR	971.8899521531	demo-seed
MXN	ILS	0.2200956938	demo-seed
MXN	INR	4.9700956938	demo-seed
MXN	JPY	9.3540669856	demo-seed
MXN	KRW	81.6387559809	demo-seed
MXN	MAD	0.5968899522	demo-seed
MXN	MYR	0.2816985646	demo-seed
MXN	NOK	0.6327751196	demo-seed
MXN	NZD	0.0992822967	demo-seed
MXN	PHP	3.4808612440	demo-seed
MXN	PLN	0.2248803828	demo-seed
MXN	SEK	0.6184210526	demo-seed
MXN	VND	1483.4330143541	demo-seed
MXN	SGD	0.0807416268	demo-seed
MXN	THB	2.1800239234	demo-seed
MXN	TRY	1.9246411483	demo-seed
MXN	TWD	1.9407894737	demo-seed
MXN	ZAR	1.1010765550	demo-seed
MYR	USD	0.2123142251	demo-seed
MYR	AUD	0.3248407643	demo-seed
MYR	BRL	1.1507430998	demo-seed
MYR	CHF	0.1932059448	demo-seed
MYR	CNY	1.5371549894	demo-seed
MYR	CZK	4.8152866242	demo-seed
MYR	DKK	1.4607218684	demo-seed
MYR	EUR	0.1868365180	demo-seed
MYR	GBP	0.1592356688	demo-seed
MYR	CAD	0.2908704883	demo-seed
MYR	HKD	1.6581740977	demo-seed
MYR	HUF	74.8407643312	demo-seed
MYR	IDR	3450.1061571125	demo-seed
MYR	ILS	0.7813163482	demo-seed
MYR	INR	17.6433121019	demo-seed
MYR	JPY	33.2059447983	demo-seed
MYR	KRW	289.8089171975	demo-seed
MYR	MAD	2.1188959660	demo-seed
MYR	MXN	3.5498938429	demo-seed
MYR	NOK	2.2462845011	demo-seed
MYR	NZD	0.3524416136	demo-seed
MYR	PHP	12.3566878981	demo-seed
MYR	PLN	0.7983014862	demo-seed
MYR	SEK	2.1953290870	demo-seed
MYR	VND	5266.0297239915	demo-seed
MYR	SGD	0.2866242038	demo-seed
MYR	THB	7.7388535032	demo-seed
MYR	TRY	6.8322717622	demo-seed
MYR	TWD	6.8895966030	demo-seed
MYR	ZAR	3.9087048832	demo-seed
NOK	USD	0.0945179584	demo-seed
NOK	AUD	0.1446124764	demo-seed
NOK	BRL	0.5122873346	demo-seed
NOK	CHF	0.0860113422	demo-seed
NOK	CNY	0.6843100189	demo-seed
NOK	CZK	2.1436672968	demo-seed
NOK	DKK	0.6502835539	demo-seed
NOK	EUR	0.0831758034	demo-seed
NOK	GBP	0.0708884688	demo-seed
NOK	CAD	0.1294896030	demo-seed
NOK	HKD	0.7381852552	demo-seed
NOK	HUF	33.3175803403	demo-seed
NOK	IDR	1535.9168241966	demo-seed
NOK	ILS	0.3478260870	demo-seed
NOK	INR	7.8544423440	demo-seed
NOK	JPY	14.7826086957	demo-seed
NOK	KRW	129.0170132325	demo-seed
NOK	MAD	0.9432892250	demo-seed
NOK	MXN	1.5803402647	demo-seed
NOK	MYR	0.4451795841	demo-seed
NOK	NZD	0.1568998110	demo-seed
NOK	PHP	5.5009451796	demo-seed
NOK	PLN	0.3553875236	demo-seed
NOK	SEK	0.9773156900	demo-seed
NOK	VND	2344.3289224953	demo-seed
NOK	SGD	0.1275992439	demo-seed
NOK	THB	3.4451795841	demo-seed
NOK	TRY	3.0415879017	demo-seed
NOK	TWD	3.0671077505	demo-seed
NOK	ZAR	1.7400756144	demo-seed
NZD	USD	0.6024096386	demo-seed
NZD	AUD	0.9216867470	demo-seed
NZD	BRL	3.2650602410	demo-seed
NZD	CHF	0.5481927711	demo-seed
NZD	CNY	4.3614457831	demo-seed
NZD	CZK	13.6626506024	demo-seed
NZD	DKK	4.1445783133	demo-seed
NZD	EUR	0.5301204819	demo-seed
NZD	GBP	0.4518072289	demo-seed
NZD	CAD	0.8253012048	demo-seed
NZD	HKD	4.7048192771	demo-seed
NZD	HUF	212.3493975904	demo-seed
NZD	IDR	9789.1566265060	demo-seed
NZD	ILS	2.2168674699	demo-seed
NZD	INR	50.0602409639	demo-seed
NZD	JPY	94.2168674699	demo-seed
NZD	KRW	822.2891566265	demo-seed
NZD	MAD	6.0120481928	demo-seed
NZD	MXN	10.0722891566	demo-seed
NZD	MYR	2.8373493976	demo-seed
NZD	NOK	6.3734939759	demo-seed
NZD	PHP	35.0602409639	demo-seed
NZD	PLN	2.2650602410	demo-seed
NZD	SEK	6.2289156627	demo-seed
NZD	VND	14941.5662650602	demo-seed
NZD	SGD	0.8132530120	demo-seed
NZD	THB	21.9578313253	demo-seed
NZD	TRY	19.3855421687	demo-seed
NZD	TWD	19.5481927711	demo-seed
NZD	ZAR	11.0903614458	demo-seed
PHP	USD	0.0171821306	demo-seed
PHP	AUD	0.0262886598	demo-seed
PHP	BRL	0.0931271478	demo-seed
PHP	CHF	0.0156357388	demo-seed
PHP	CNY	0.1243986254	demo-seed
PHP	CZK	0.3896907216	demo-seed
PHP	DKK	0.1182130584	demo-seed
PHP	EUR	0.0151202749	demo-seed
PHP	GBP	0.0128865979	demo-seed
